År,År-Månad,A5_id,A5_Id_Description,Befattningskod,BefattningskodText,Åldersgrupp,Antal anställningar,Sjukfrånvaro total %,Sjukfrånvaro total tim
2019,2019-DEC,8,Serviceförvaltningen,7594,Anläggningsarbetare,30-39 år,25,9.02 %,180.5
2019,2019-APR,5,Teknisk Förvaltning,9012,Platschef,30-39 år,20,3.86 %,209.2
2021,2021-NOV,14,Teknisk Förvaltning,7594,Mekaniker,30-39 år,20,6.03 %,118.2
2021,2021-JUL,4,Serviceförvaltningen,5678,IT-specialist,50-59 år,24,5.78 %,191.3
2021,2021-JUN,10,Serviceförvaltningen,1234,Mekaniker,30-39 år,33,9.57 %,205.4
2020,2020-FEB,15,Ekonomiavdelning,7594,Mekaniker,50-59 år,32,4.07 %,167.9
2019,2019-DEC,18,Serviceförvaltningen,9012,IT-specialist,20-29 år,12,3.07 %,136.5
2021,2021-NOV,13,Ekonomiavdelning,7594,Anläggningsarbetare,40-49 år,28,4.67 %,231.6
2019,2019-NOV,8,IT-avdelning,7594,Platschef,50-59 år,7,8.74 %,211.4
2020,2020-MAY,9,Teknisk Förvaltning,7594,Administratör,20-29 år,29,4.47 %,235.0
2020,2020-JUL,16,Teknisk Förvaltning,9012,IT-specialist,20-29 år,23,4.69 %,222.8
2021,2021-NOV,19,Teknisk Förvaltning,1234,IT-specialist,50-59 år,37,3.91 %,248.6
2020,2020-JUL,16,IT-avdelning,5678,Administratör,20-29 år,6,8.01 %,128.8
2019,2019-MAY,7,IT-avdelning,1234,Mekaniker,20-29 år,19,3.48 %,113.0
2021,2021-DEC,14,Personalavdelning,7594,Platschef,50-59 år,26,5.32 %,150.6
2019,2019-SEP,14,Ekonomiavdelning,9012,Mekaniker,20-29 år,14,4.98 %,119.4
2019,2019-APR,4,Ekonomiavdelning,1234,Administratör,30-39 år,22,6.89 %,178.5
2020,2020-NOV,15,Personalavdelning,7594,Administratör,30-39 år,26,8.11 %,195.0
2020,2020-MAR,3,Teknisk Förvaltning,5678,Platschef,40-49 år,31,6.73 %,186.7
2020,2020-APR,5,Ekonomiavdelning,5678,Administratör,20-29 år,17,9.52 %,138.9
2020,2020-MAY,1,Ekonomiavdelning,5678,Administratör,40-49 år,37,9.66 %,236.3
2020,2020-JUN,3,Teknisk Förvaltning,7594,Platschef,30-39 år,9,5.53 %,103.2
2021,2021-MAR,15,Serviceförvaltningen,9012,IT-specialist,30-39 år,30,8.44 %,152.2
2019,2019-FEB,8,Serviceförvaltningen,1234,Mekaniker,30-39 år,17,8.17 %,207.8
2019,2019-APR,4,Personalavdelning,5678,IT-specialist,20-29 år,31,9.25 %,215.0
2019,2019-MAY,2,IT-avdelning,7594,IT-specialist,20-29 år,18,6.14 %,162.4
2019,2019-APR,10,Ekonomiavdelning,7594,Mekaniker,30-39 år,28,6.71 %,102.5
2020,2020-NOV,4,Ekonomiavdelning,1234,IT-specialist,40-49 år,7,5.91 %,192.7
2019,2019-DEC,3,Personalavdelning,5678,Platschef,40-49 år,34,8.95 %,109.5
2021,2021-MAR,2,Personalavdelning,7594,Mekaniker,50-59 år,39,4.61 %,116.2
2021,2021-AUG,17,Ekonomiavdelning,1234,Anläggningsarbetare,30-39 år,18,4.68 %,197.5
2019,2019-OCT,13,Teknisk Förvaltning,9012,IT-specialist,40-49 år,16,5.61 %,146.9
2019,2019-APR,5,Teknisk Förvaltning,9012,Administratör,30-39 år,32,4.61 %,152.2
2021,2021-FEB,9,IT-avdelning,9012,Mekaniker,40-49 år,48,6.93 %,173.0
2021,2021-FEB,6,Ekonomiavdelning,5678,Anläggningsarbetare,50-59 år,33,3.94 %,246.8
2020,2020-JAN,5,Ekonomiavdelning,1234,Administratör,50-59 år,47,5.24 %,244.8
2021,2021-APR,10,Ekonomiavdelning,1234,Anläggningsarbetare,30-39 år,21,9.39 %,162.4
2020,2020-OCT,8,Ekonomiavdelning,7594,IT-specialist,40-49 år,44,5.86 %,139.8
2020,2020-SEP,7,Personalavdelning,7594,Administratör,20-29 år,25,8.24 %,145.4
2020,2020-NOV,7,Serviceförvaltningen,7594,IT-specialist,50-59 år,27,3.79 %,140.3
2020,2020-JUL,6,Ekonomiavdelning,1234,Administratör,30-39 år,24,4.73 %,179.8
2020,2020-DEC,3,Serviceförvaltningen,7594,Mekaniker,30-39 år,15,8.65 %,191.0
2019,2019-OCT,19,Teknisk Förvaltning,1234,Platschef,40-49 år,38,8.34 %,173.3
2021,2021-JUL,15,IT-avdelning,1234,Platschef,30-39 år,14,5.7 %,161.2
2020,2020-JUL,4,Teknisk Förvaltning,9012,Anläggningsarbetare,50-59 år,14,9.68 %,131.7
2021,2021-AUG,12,Ekonomiavdelning,7594,Administratör,30-39 år,47,9.37 %,172.4
2021,2021-JAN,6,Teknisk Förvaltning,9012,IT-specialist,30-39 år,10,9.74 %,151.2
2020,2020-OCT,19,Personalavdelning,5678,Mekaniker,20-29 år,40,6.0 %,181.2
2019,2019-OCT,4,Serviceförvaltningen,5678,Mekaniker,20-29 år,28,4.38 %,201.3
2020,2020-AUG,15,Ekonomiavdelning,5678,Mekaniker,50-59 år,16,7.39 %,195.0
2019,2019-APR,9,Personalavdelning,1234,Platschef,40-49 år,47,7.79 %,169.4
2021,2021-APR,5,Serviceförvaltningen,1234,IT-specialist,20-29 år,27,3.88 %,183.4
2019,2019-APR,13,Personalavdelning,1234,Mekaniker,40-49 år,31,8.51 %,142.7
2019,2019-JUN,18,Teknisk Förvaltning,7594,Mekaniker,50-59 år,49,3.13 %,103.6
2019,2019-JUL,5,Ekonomiavdelning,9012,Anläggningsarbetare,20-29 år,41,6.38 %,193.8
2021,2021-JUN,16,Teknisk Förvaltning,1234,Administratör,40-49 år,10,5.32 %,137.9
2021,2021-JAN,19,IT-avdelning,9012,Administratör,20-29 år,5,8.18 %,200.3
2019,2019-DEC,14,Ekonomiavdelning,9012,Administratör,50-59 år,10,5.19 %,212.1
2019,2019-AUG,16,Teknisk Förvaltning,9012,Anläggningsarbetare,50-59 år,26,8.79 %,237.4
2020,2020-OCT,15,Ekonomiavdelning,7594,Platschef,20-29 år,45,7.16 %,243.7
2019,2019-NOV,4,Serviceförvaltningen,7594,Anläggningsarbetare,40-49 år,28,8.56 %,101.6
2020,2020-JUL,7,Ekonomiavdelning,5678,Mekaniker,30-39 år,29,9.93 %,248.6
2019,2019-JUN,16,Ekonomiavdelning,5678,IT-specialist,30-39 år,19,7.75 %,202.5
2020,2020-JUN,8,Serviceförvaltningen,9012,Mekaniker,20-29 år,30,9.89 %,196.5
2021,2021-MAY,17,Teknisk Förvaltning,5678,Mekaniker,40-49 år,12,3.2 %,102.3
2019,2019-JUN,16,Ekonomiavdelning,9012,IT-specialist,30-39 år,28,5.37 %,229.2
2019,2019-DEC,10,Personalavdelning,7594,Administratör,50-59 år,42,3.75 %,121.8
2019,2019-SEP,10,Ekonomiavdelning,7594,Anläggningsarbetare,40-49 år,10,4.84 %,225.6
2019,2019-OCT,2,Teknisk Förvaltning,7594,Platschef,30-39 år,39,8.87 %,102.3
2020,2020-SEP,9,Serviceförvaltningen,1234,Mekaniker,40-49 år,46,3.23 %,196.9
2019,2019-OCT,17,Teknisk Förvaltning,9012,Mekaniker,20-29 år,5,6.64 %,165.2
2021,2021-AUG,11,IT-avdelning,7594,Platschef,40-49 år,40,6.97 %,130.1
2021,2021-OCT,10,Ekonomiavdelning,9012,Anläggningsarbetare,30-39 år,16,6.93 %,116.1
2019,2019-SEP,17,Ekonomiavdelning,5678,Mekaniker,20-29 år,42,6.33 %,166.0
2021,2021-OCT,4,Serviceförvaltningen,5678,Platschef,40-49 år,15,8.53 %,118.5
2019,2019-AUG,16,Ekonomiavdelning,7594,Mekaniker,50-59 år,16,3.93 %,173.0
2019,2019-AUG,15,Personalavdelning,9012,Administratör,30-39 år,46,5.17 %,193.8
2021,2021-JAN,5,Personalavdelning,7594,Administratör,20-29 år,43,7.31 %,224.1
2019,2019-OCT,6,Teknisk Förvaltning,5678,Mekaniker,40-49 år,11,7.84 %,201.8
2021,2021-NOV,17,Serviceförvaltningen,7594,Mekaniker,50-59 år,15,5.83 %,109.8
2020,2020-MAY,1,IT-avdelning,9012,Administratör,30-39 år,40,9.13 %,146.1
2019,2019-APR,19,Teknisk Förvaltning,5678,Mekaniker,50-59 år,35,5.91 %,143.2
2020,2020-FEB,4,Serviceförvaltningen,1234,Anläggningsarbetare,40-49 år,37,5.82 %,237.3
2021,2021-AUG,17,Serviceförvaltningen,5678,Anläggningsarbetare,40-49 år,17,3.25 %,230.2
2020,2020-MAR,9,Teknisk Förvaltning,1234,IT-specialist,20-29 år,22,6.86 %,155.5
2020,2020-APR,2,Teknisk Förvaltning,7594,Anläggningsarbetare,50-59 år,45,7.96 %,110.7
2021,2021-DEC,8,Ekonomiavdelning,7594,Mekaniker,20-29 år,28,3.8 %,234.1
2020,2020-JUL,15,IT-avdelning,9012,Mekaniker,30-39 år,13,5.14 %,233.2
2020,2020-OCT,7,Personalavdelning,1234,Platschef,20-29 år,35,8.47 %,228.2
2021,2021-SEP,6,Ekonomiavdelning,7594,Anläggningsarbetare,30-39 år,45,5.56 %,226.8
2020,2020-FEB,1,Serviceförvaltningen,1234,Administratör,40-49 år,14,4.69 %,172.0
2021,2021-MAR,15,IT-avdelning,7594,Administratör,40-49 år,6,7.71 %,126.6
2020,2020-APR,7,IT-avdelning,5678,IT-specialist,50-59 år,42,4.38 %,171.6
2021,2021-OCT,17,Teknisk Förvaltning,7594,Platschef,30-39 år,19,9.27 %,174.2
2021,2021-JAN,2,IT-avdelning,9012,Administratör,40-49 år,7,3.74 %,173.5
2020,2020-JUL,9,IT-avdelning,5678,IT-specialist,50-59 år,47,7.95 %,180.8
2020,2020-FEB,9,Serviceförvaltningen,9012,Anläggningsarbetare,50-59 år,35,6.5 %,138.6
2020,2020-MAY,13,Ekonomiavdelning,5678,Platschef,20-29 år,10,9.09 %,154.9
2019,2019-JAN,6,IT-avdelning,1234,Platschef,50-59 år,7,3.88 %,165.1
2019,2019-MAR,6,Teknisk Förvaltning,9012,Mekaniker,40-49 år,15,7.75 %,119.7
2019,2019-DEC,3,Ekonomiavdelning,7594,Anläggningsarbetare,20-29 år,19,7.0 %,168.3
2021,2021-FEB,17,Teknisk Förvaltning,1234,Platschef,30-39 år,49,6.36 %,221.6
2020,2020-JAN,17,IT-avdelning,7594,IT-specialist,30-39 år,32,6.44 %,224.2
2021,2021-JUL,12,Ekonomiavdelning,5678,Administratör,40-49 år,14,8.05 %,161.7
2019,2019-MAY,16,IT-avdelning,5678,Anläggningsarbetare,40-49 år,42,9.56 %,177.8
2020,2020-JAN,15,Serviceförvaltningen,7594,Anläggningsarbetare,20-29 år,11,3.64 %,105.0
2021,2021-JUN,13,Ekonomiavdelning,7594,Platschef,20-29 år,19,3.14 %,201.2
2020,2020-MAY,1,Teknisk Förvaltning,1234,Platschef,40-49 år,22,8.64 %,160.7
2021,2021-MAR,17,Serviceförvaltningen,7594,Platschef,40-49 år,22,3.76 %,166.8
2020,2020-DEC,3,Personalavdelning,9012,IT-specialist,30-39 år,45,9.91 %,231.1
2019,2019-JUL,15,Teknisk Förvaltning,9012,Mekaniker,30-39 år,28,7.34 %,169.3
2019,2019-NOV,4,IT-avdelning,7594,Platschef,30-39 år,6,7.56 %,103.2
2020,2020-OCT,4,Teknisk Förvaltning,9012,Mekaniker,40-49 år,44,4.39 %,134.1
2021,2021-SEP,18,Personalavdelning,7594,Mekaniker,50-59 år,24,4.68 %,171.3
2019,2019-SEP,17,Teknisk Förvaltning,1234,Anläggningsarbetare,40-49 år,38,7.62 %,163.7
2019,2019-SEP,19,Serviceförvaltningen,9012,Administratör,40-49 år,47,9.37 %,229.1
2019,2019-FEB,11,Teknisk Förvaltning,9012,Administratör,30-39 år,30,9.88 %,181.3
2020,2020-MAR,3,Ekonomiavdelning,7594,IT-specialist,40-49 år,11,4.39 %,203.4
2020,2020-JUL,8,Personalavdelning,9012,IT-specialist,20-29 år,42,3.94 %,170.4
2021,2021-MAY,14,Teknisk Förvaltning,5678,Administratör,40-49 år,34,3.39 %,165.9
2021,2021-FEB,1,Personalavdelning,1234,Administratör,40-49 år,46,9.08 %,166.9
2021,2021-MAR,14,Serviceförvaltningen,1234,Anläggningsarbetare,40-49 år,9,5.06 %,161.6
2020,2020-OCT,2,Ekonomiavdelning,9012,Anläggningsarbetare,40-49 år,15,3.01 %,180.8
2020,2020-JUN,4,IT-avdelning,9012,Administratör,50-59 år,5,4.57 %,137.6
2021,2021-JUL,19,Teknisk Förvaltning,5678,Platschef,40-49 år,38,5.38 %,233.7
2021,2021-SEP,6,Serviceförvaltningen,5678,Platschef,20-29 år,5,9.94 %,150.0
2020,2020-JAN,1,Personalavdelning,9012,Anläggningsarbetare,20-29 år,23,6.66 %,122.1
2021,2021-NOV,17,Personalavdelning,9012,Mekaniker,40-49 år,6,4.43 %,114.5
2019,2019-JUL,8,Serviceförvaltningen,5678,Administratör,30-39 år,25,5.34 %,102.0
2020,2020-AUG,19,Teknisk Förvaltning,7594,IT-specialist,50-59 år,24,5.31 %,163.4
2021,2021-DEC,1,IT-avdelning,5678,Platschef,40-49 år,27,3.14 %,128.1
2020,2020-MAR,5,Teknisk Förvaltning,7594,Mekaniker,40-49 år,25,3.95 %,103.2
2019,2019-APR,16,Ekonomiavdelning,1234,Platschef,40-49 år,28,7.87 %,178.0
2020,2020-OCT,6,Teknisk Förvaltning,1234,Mekaniker,30-39 år,8,3.84 %,202.0
2020,2020-JUN,8,Ekonomiavdelning,5678,Administratör,30-39 år,16,4.62 %,112.9
2020,2020-OCT,13,Personalavdelning,7594,Administratör,30-39 år,26,5.46 %,169.1
2020,2020-JUL,16,Ekonomiavdelning,5678,Administratör,50-59 år,24,8.3 %,211.5
2019,2019-APR,3,IT-avdelning,5678,Anläggningsarbetare,20-29 år,22,7.08 %,247.9
2020,2020-AUG,19,Serviceförvaltningen,7594,Mekaniker,50-59 år,5,7.82 %,200.1
2020,2020-MAY,12,Ekonomiavdelning,5678,IT-specialist,30-39 år,34,6.97 %,136.7
2021,2021-JAN,16,Teknisk Förvaltning,1234,IT-specialist,20-29 år,37,7.79 %,207.5
2020,2020-APR,11,Ekonomiavdelning,9012,Administratör,20-29 år,28,3.02 %,189.7
2021,2021-MAR,10,Personalavdelning,9012,IT-specialist,30-39 år,18,9.52 %,131.8
2019,2019-SEP,4,Ekonomiavdelning,5678,Platschef,30-39 år,40,3.78 %,227.7
2019,2019-AUG,12,IT-avdelning,7594,Mekaniker,50-59 år,9,5.84 %,164.1
2019,2019-JAN,2,Ekonomiavdelning,7594,Mekaniker,30-39 år,15,8.4 %,244.3
2019,2019-NOV,19,IT-avdelning,1234,Mekaniker,20-29 år,28,6.05 %,208.4
2021,2021-JUN,5,Teknisk Förvaltning,7594,Platschef,40-49 år,35,9.63 %,196.7
2020,2020-SEP,8,Personalavdelning,7594,Anläggningsarbetare,30-39 år,17,6.27 %,209.3
2019,2019-JUL,7,Serviceförvaltningen,1234,Platschef,30-39 år,20,9.12 %,171.7
2020,2020-APR,14,Teknisk Förvaltning,5678,Mekaniker,50-59 år,28,8.68 %,175.8
2021,2021-JAN,3,Teknisk Förvaltning,9012,Mekaniker,50-59 år,17,9.87 %,227.7
2021,2021-DEC,18,Serviceförvaltningen,1234,Mekaniker,30-39 år,28,9.49 %,202.1
2021,2021-FEB,16,Ekonomiavdelning,5678,IT-specialist,20-29 år,30,9.29 %,234.6
2019,2019-DEC,19,Ekonomiavdelning,1234,Anläggningsarbetare,20-29 år,6,8.12 %,233.6
2020,2020-MAY,19,Ekonomiavdelning,5678,Platschef,40-49 år,20,5.57 %,246.5
2020,2020-DEC,18,Personalavdelning,1234,Mekaniker,30-39 år,42,3.74 %,205.0
2020,2020-NOV,16,Teknisk Förvaltning,5678,Administratör,50-59 år,5,7.82 %,175.3
2021,2021-MAY,8,IT-avdelning,1234,Anläggningsarbetare,20-29 år,15,9.85 %,124.9
2019,2019-AUG,1,Serviceförvaltningen,5678,Administratör,40-49 år,39,8.09 %,205.8
2021,2021-JUN,17,Teknisk Förvaltning,1234,Anläggningsarbetare,30-39 år,47,9.5 %,143.7
2021,2021-AUG,12,Ekonomiavdelning,9012,Mekaniker,20-29 år,33,8.63 %,142.4
2020,2020-FEB,11,Serviceförvaltningen,9012,Anläggningsarbetare,30-39 år,41,4.14 %,135.7
2021,2021-MAR,5,IT-avdelning,7594,Anläggningsarbetare,30-39 år,21,4.74 %,231.3
2020,2020-JUN,12,Teknisk Förvaltning,5678,Mekaniker,20-29 år,43,5.39 %,230.2
2019,2019-DEC,17,Teknisk Förvaltning,1234,Administratör,20-29 år,46,4.18 %,194.6
2020,2020-OCT,6,Personalavdelning,5678,Administratör,20-29 år,32,7.07 %,170.9
2019,2019-MAR,1,Teknisk Förvaltning,9012,IT-specialist,30-39 år,33,9.83 %,200.8
2020,2020-JUN,5,Teknisk Förvaltning,5678,Administratör,30-39 år,47,8.33 %,191.1
2021,2021-JUN,14,IT-avdelning,1234,Administratör,40-49 år,7,5.96 %,162.4
2021,2021-FEB,5,IT-avdelning,5678,Anläggningsarbetare,50-59 år,14,3.03 %,156.9
2019,2019-JUL,1,Serviceförvaltningen,1234,IT-specialist,30-39 år,46,5.19 %,157.4
2019,2019-DEC,18,Ekonomiavdelning,9012,Mekaniker,50-59 år,18,6.69 %,188.4
2019,2019-FEB,16,IT-avdelning,9012,Mekaniker,20-29 år,16,5.27 %,197.2
2020,2020-JUN,9,Serviceförvaltningen,9012,Platschef,30-39 år,46,3.78 %,167.8
2020,2020-JAN,19,Teknisk Förvaltning,7594,IT-specialist,40-49 år,34,6.1 %,245.3
2019,2019-MAR,5,Serviceförvaltningen,9012,Anläggningsarbetare,40-49 år,36,4.77 %,112.6
2021,2021-FEB,2,Serviceförvaltningen,5678,Platschef,50-59 år,36,9.36 %,152.1
2020,2020-JUL,15,Serviceförvaltningen,7594,Platschef,20-29 år,46,3.71 %,162.9
2020,2020-APR,7,Serviceförvaltningen,9012,Mekaniker,50-59 år,36,3.34 %,102.5
2020,2020-AUG,4,IT-avdelning,5678,Administratör,20-29 år,30,3.04 %,154.7
2019,2019-JUN,1,Ekonomiavdelning,5678,Anläggningsarbetare,40-49 år,5,5.3 %,141.1
2019,2019-DEC,13,Serviceförvaltningen,5678,IT-specialist,50-59 år,46,7.62 %,175.9
2019,2019-OCT,7,Personalavdelning,1234,Platschef,40-49 år,6,8.11 %,150.5
2019,2019-APR,15,Teknisk Förvaltning,7594,Anläggningsarbetare,40-49 år,21,6.17 %,208.9
2019,2019-MAY,14,Teknisk Förvaltning,5678,Mekaniker,20-29 år,34,7.79 %,176.5
2021,2021-SEP,19,Teknisk Förvaltning,1234,Platschef,50-59 år,43,5.52 %,119.5
2021,2021-JUL,18,Teknisk Förvaltning,9012,Platschef,50-59 år,11,7.67 %,212.5
2019,2019-OCT,10,Teknisk Förvaltning,5678,Mekaniker,40-49 år,31,3.28 %,114.9
2020,2020-SEP,9,Serviceförvaltningen,1234,Mekaniker,40-49 år,13,5.74 %,225.9
2019,2019-JUL,8,Ekonomiavdelning,5678,Mekaniker,20-29 år,26,8.54 %,239.7
2021,2021-DEC,10,Personalavdelning,7594,Anläggningsarbetare,30-39 år,38,8.62 %,148.4
2021,2021-JAN,17,IT-avdelning,7594,Anläggningsarbetare,30-39 år,5,8.01 %,238.9
2020,2020-DEC,2,Personalavdelning,9012,Anläggningsarbetare,40-49 år,13,4.43 %,219.0
2021,2021-AUG,6,IT-avdelning,5678,Administratör,30-39 år,24,4.73 %,238.4
2019,2019-APR,5,IT-avdelning,1234,Platschef,30-39 år,23,9.97 %,199.9
2020,2020-MAR,9,Personalavdelning,9012,Anläggningsarbetare,30-39 år,40,3.72 %,135.3
2019,2019-JUL,5,Serviceförvaltningen,5678,Administratör,30-39 år,44,4.26 %,234.2
2019,2019-DEC,18,Teknisk Förvaltning,9012,Platschef,40-49 år,49,3.91 %,127.6
2020,2020-MAR,9,Serviceförvaltningen,1234,Anläggningsarbetare,30-39 år,8,5.29 %,132.0
2019,2019-AUG,17,Teknisk Förvaltning,9012,Mekaniker,30-39 år,13,4.47 %,140.7
2021,2021-JUN,17,Ekonomiavdelning,9012,IT-specialist,20-29 år,45,6.48 %,145.6
2019,2019-MAY,12,IT-avdelning,9012,Anläggningsarbetare,40-49 år,26,6.33 %,177.2
2020,2020-APR,7,Personalavdelning,5678,IT-specialist,50-59 år,22,9.31 %,207.0
2020,2020-AUG,3,Ekonomiavdelning,1234,Anläggningsarbetare,50-59 år,16,3.24 %,238.9
2020,2020-AUG,10,Teknisk Förvaltning,7594,Mekaniker,20-29 år,46,5.24 %,113.3
2019,2019-DEC,2,Serviceförvaltningen,5678,IT-specialist,20-29 år,47,7.18 %,243.2
2020,2020-JAN,3,Personalavdelning,7594,Administratör,40-49 år,43,7.23 %,238.2
2020,2020-SEP,16,IT-avdelning,7594,Mekaniker,50-59 år,13,6.36 %,108.1
2019,2019-MAY,2,Ekonomiavdelning,5678,IT-specialist,30-39 år,10,8.71 %,154.0
2021,2021-APR,10,IT-avdelning,5678,IT-specialist,20-29 år,23,3.44 %,222.0
2019,2019-JUN,6,Teknisk Förvaltning,1234,Mekaniker,50-59 år,11,8.71 %,191.7
2020,2020-JUN,11,IT-avdelning,1234,Mekaniker,40-49 år,20,6.46 %,216.9
2020,2020-FEB,7,Serviceförvaltningen,9012,Mekaniker,30-39 år,9,3.94 %,207.9
2019,2019-AUG,15,Ekonomiavdelning,7594,Platschef,40-49 år,20,9.2 %,174.5
2021,2021-JUL,6,Ekonomiavdelning,1234,Administratör,20-29 år,5,7.54 %,106.2
2020,2020-JAN,9,Serviceförvaltningen,9012,Anläggningsarbetare,50-59 år,41,4.14 %,187.6
2020,2020-MAY,12,IT-avdelning,1234,IT-specialist,50-59 år,43,3.24 %,107.3
2020,2020-DEC,19,Serviceförvaltningen,5678,Anläggningsarbetare,50-59 år,23,3.99 %,190.6
2019,2019-JUN,3,Personalavdelning,1234,Mekaniker,50-59 år,41,7.26 %,220.1
2020,2020-APR,15,Serviceförvaltningen,7594,Administratör,30-39 år,21,4.26 %,187.7
2021,2021-FEB,2,IT-avdelning,1234,Administratör,30-39 år,30,4.58 %,249.6
2020,2020-APR,2,Serviceförvaltningen,7594,Platschef,40-49 år,26,3.18 %,168.4
2020,2020-JAN,3,Teknisk Förvaltning,5678,Mekaniker,30-39 år,12,8.06 %,212.3
2021,2021-JUL,6,Serviceförvaltningen,7594,IT-specialist,20-29 år,37,8.67 %,200.1
2020,2020-FEB,15,Serviceförvaltningen,1234,Platschef,20-29 år,6,8.58 %,248.7
2019,2019-FEB,10,IT-avdelning,9012,Mekaniker,50-59 år,34,3.89 %,207.0
2019,2019-SEP,9,Personalavdelning,5678,Platschef,20-29 år,24,9.32 %,124.6
2019,2019-MAY,1,Personalavdelning,1234,Anläggningsarbetare,40-49 år,22,7.71 %,243.3
2021,2021-FEB,16,IT-avdelning,5678,Mekaniker,30-39 år,47,9.28 %,200.2
2020,2020-NOV,6,IT-avdelning,5678,IT-specialist,30-39 år,14,6.13 %,108.9
2019,2019-SEP,9,IT-avdelning,1234,IT-specialist,30-39 år,28,6.06 %,198.6
2021,2021-SEP,4,Teknisk Förvaltning,1234,Mekaniker,20-29 år,8,8.49 %,232.5
2020,2020-JAN,2,Ekonomiavdelning,9012,Platschef,30-39 år,41,3.65 %,186.6
2021,2021-NOV,4,Serviceförvaltningen,5678,Administratör,50-59 år,8,6.65 %,153.1
2019,2019-MAR,1,IT-avdelning,5678,Mekaniker,50-59 år,17,8.85 %,223.1
2019,2019-APR,19,IT-avdelning,1234,IT-specialist,50-59 år,29,8.81 %,217.4
2019,2019-JUL,10,IT-avdelning,7594,Anläggningsarbetare,20-29 år,17,9.69 %,181.6
2021,2021-OCT,15,Personalavdelning,1234,IT-specialist,30-39 år,22,7.89 %,123.2
2021,2021-APR,19,IT-avdelning,5678,Administratör,20-29 år,28,4.45 %,137.6
2019,2019-FEB,16,Serviceförvaltningen,1234,IT-specialist,30-39 år,6,3.14 %,210.8
2021,2021-JUL,4,IT-avdelning,9012,Administratör,40-49 år,37,6.36 %,220.9
2019,2019-JUN,2,Serviceförvaltningen,7594,Mekaniker,40-49 år,23,6.6 %,141.9
2019,2019-MAR,13,Teknisk Förvaltning,1234,IT-specialist,20-29 år,13,4.68 %,155.2
2020,2020-JUN,1,Ekonomiavdelning,9012,Platschef,50-59 år,32,3.87 %,111.6
2021,2021-NOV,17,Personalavdelning,5678,Platschef,20-29 år,39,7.1 %,207.0
2019,2019-JUN,13,Serviceförvaltningen,1234,IT-specialist,50-59 år,43,8.35 %,100.5
2019,2019-DEC,4,Teknisk Förvaltning,5678,IT-specialist,30-39 år,14,9.95 %,107.0
2021,2021-MAY,7,Ekonomiavdelning,9012,Anläggningsarbetare,50-59 år,5,8.31 %,100.7
2020,2020-APR,17,Ekonomiavdelning,5678,IT-specialist,50-59 år,46,8.56 %,196.8
2020,2020-OCT,9,Ekonomiavdelning,9012,Anläggningsarbetare,30-39 år,25,7.32 %,162.6
2019,2019-DEC,4,Serviceförvaltningen,9012,Anläggningsarbetare,40-49 år,13,9.9 %,144.6
2021,2021-JAN,19,Teknisk Förvaltning,9012,Anläggningsarbetare,30-39 år,19,7.48 %,236.9
2020,2020-OCT,1,IT-avdelning,1234,Anläggningsarbetare,20-29 år,39,9.02 %,128.9
2021,2021-JUN,10,Teknisk Förvaltning,5678,Mekaniker,20-29 år,9,9.62 %,158.4
2021,2021-FEB,4,Teknisk Förvaltning,5678,Platschef,20-29 år,45,9.51 %,241.0
2019,2019-MAR,9,Teknisk Förvaltning,7594,Anläggningsarbetare,20-29 år,26,5.67 %,164.1
2020,2020-AUG,13,Serviceförvaltningen,7594,Platschef,20-29 år,45,3.55 %,183.2
2019,2019-OCT,14,Serviceförvaltningen,7594,Anläggningsarbetare,40-49 år,27,4.2 %,112.1
2020,2020-JUN,10,Serviceförvaltningen,7594,Platschef,40-49 år,11,3.41 %,218.5
2020,2020-MAR,6,Teknisk Förvaltning,5678,IT-specialist,50-59 år,27,3.74 %,163.4
2020,2020-JUL,16,Serviceförvaltningen,9012,IT-specialist,20-29 år,48,4.29 %,220.1
2020,2020-APR,6,Ekonomiavdelning,9012,Platschef,30-39 år,29,5.39 %,138.1
2020,2020-SEP,17,Serviceförvaltningen,1234,Anläggningsarbetare,20-29 år,31,6.8 %,163.4
2021,2021-MAY,10,Personalavdelning,9012,Mekaniker,40-49 år,45,7.98 %,218.0
2019,2019-MAR,18,Serviceförvaltningen,5678,Platschef,20-29 år,10,4.48 %,246.1
2021,2021-FEB,18,Serviceförvaltningen,5678,Administratör,40-49 år,38,7.71 %,108.9
2020,2020-NOV,3,Serviceförvaltningen,5678,Mekaniker,50-59 år,13,7.93 %,221.9
2019,2019-FEB,15,Serviceförvaltningen,1234,Administratör,50-59 år,37,6.91 %,145.1
2020,2020-MAR,15,Personalavdelning,7594,Platschef,50-59 år,10,9.33 %,182.6
2019,2019-FEB,4,IT-avdelning,9012,Anläggningsarbetare,40-49 år,41,3.78 %,143.5
2021,2021-APR,9,Serviceförvaltningen,5678,Administratör,20-29 år,35,4.24 %,192.0
2019,2019-FEB,19,Ekonomiavdelning,5678,Platschef,20-29 år,38,6.0 %,153.1
2019,2019-OCT,17,Personalavdelning,7594,Mekaniker,30-39 år,45,3.89 %,150.0
2019,2019-SEP,11,IT-avdelning,5678,Anläggningsarbetare,40-49 år,33,6.96 %,105.7
2019,2019-FEB,9,Serviceförvaltningen,9012,Administratör,30-39 år,18,5.79 %,122.0
2019,2019-SEP,10,IT-avdelning,1234,Platschef,50-59 år,40,4.99 %,237.6
